date,portfolio_value,benchmark_value,cash,gross_return,daily_return,benchmark_return,buy_turnover,sell_turnover,transaction_cost,total_weight,drawdown
2023-10-31,84690.30711489794,69663.74024705325,0.0,0.0009025212297641306,0.0009025212297641306,-0.003141945410631508,0.0,-0.0,0.0,1.0,-0.32304169511347003
2023-11-01,84432.12713218236,69634.88071281432,0.0,-0.002448518673634159,-0.003048518673634159,-0.0004142690894369805,0.4,0.4,0.0006000000000000001,1.0,-0.32510541514718827
2023-11-02,84435.41908162016,69306.49996500867,0.0,3.898929885586271e-05,3.898929885586271e-05,-0.004715750848485745,0.0,-0.0,0.0,1.0,-0.3250791014805232
2023-11-03,84757.75073912172,69890.52229472814,0.0,0.0038174934287941616,0.0038174934287941616,0.00842666027016703,0.0,-0.0,0.0,1.0,-0.3225025953854692
2023-11-06,85841.00285046024,70835.68870360138,0.0,0.012780566991126065,0.012780566991126065,0.013523527623494846,0.0,-0.0,0.0,1.0,-0.3138437944194792
2023-11-07,85398.87873222143,70585.11253647317,0.0,-0.005150500385101498,-0.005150500385101498,-0.003537428261292219,0.0,-0.0,0.0,1.0,-0.31737784222056153
2023-11-08,85254.43537090291,70415.6591775652,0.0,-0.0016913964616730895,-0.0016913964616730895,-0.0024006954557224125,0.0,-0.0,0.0,1.0,-0.3185324269228893
2023-11-09,84522.52988905532,70449.9792670288,0.0,-0.008584954890187181,-0.008584954890187181,0.00048739285926524545,0.0,-0.0,0.0,1.0,-0.32438279529688163
2023-11-10,83887.10190285978,69936.3490642075,0.0,-0.007517853370333616,-0.007517853370333616,-0.007290707650522865,0.0,-0.0,0.0,1.0,-0.3294619863763142
2023-11-13,83179.17692280006,69798.28794693125,0.0,-0.00843902058840309,-0.00843902058840309,-0.0019740967197116044,0.0,-0.0,0.0,1.0,-0.3351206704785915
2023-11-14,83514.21229645006,69849.9656513462,0.0,0.004027875557856863,0.004027875557856863,0.0007403864182777831,0.0,-0.0,0.0,1.0,-0.332442619278288
2023-11-15,84311.49705758318,70341.16806370238,0.0,0.00954669557683201,0.00954669557683201,0.007032249876943508,0.0,-0.0,0.0,1.0,-0.3260696521844706
2023-11-16,83832.31151401544,69660.81715994955,0.0,-0.005683513640381201,-0.005683513640381201,-0.009672158175376033,0.0,-0.0,0.0,1.0,-0.329899944508947
2023-11-17,83757.5314904285,69577.1616443365,0.0,-0.0008920191061943862,-0.0008920191061943862,-0.0012008977072571758,0.0,-0.0,0.0,1.0,-0.3304976865615069
