horizon_months,signal_column,base_factor,factor_name,category,signal_variant,number_of_periods,average_stocks_per_period,mean_ic,ic_standard_deviation,ic_ir,positive_ic_rate_percent,t_statistic
3,trend_60_neutral,trend_60,60-Day MA Trend,Trend,neutralized,84,299.6666666667,-0.0117701460,0.1178419702,-0.0998807639,45.2380952381,-0.9154223220
3,trend_category_score,trend_category_score,Trend Category,Category Composite,category,84,299.6666666667,-0.0117701460,0.1178419702,-0.0998807639,45.2380952381,-0.9154223220
3,momentum_60_neutral,momentum_60,60-Day Momentum,Momentum,neutralized,84,299.6666666667,-0.0155335371,0.1147989086,-0.1353108425,46.4285714286,-1.2401443565
3,liquidity_category_score,liquidity_category_score,Liquidity Category,Category Composite,category,84,299.6666666667,-0.0200171683,0.1070518541,-0.1869857228,42.8571428571,-1.7137524570
3,momentum_60_zscore,momentum_60,60-Day Momentum,Momentum,standardized,84,299.6666666667,-0.0208179630,0.1900791330,-0.1095226110,47.6190476190,-1.0037913107
3,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,84,299.6666666667,-0.0229492266,0.1874372836,-0.1224368286,41.6666666667,-1.1221520701
3,trend_60_zscore,trend_60,60-Day MA Trend,Trend,standardized,84,299.6666666667,-0.0266980770,0.1926286449,-0.1385986855,42.8571428571,-1.2702779349
3,liquidity_amount_20_zscore,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,standardized,84,299.6666666667,-0.0365044034,0.1624227940,-0.2247492637,40.4761904762,-2.0598610262
3,liquidity_amount_20_neutral,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,neutralized,84,299.6666666667,-0.0380613277,0.1143605009,-0.3328188264,38.0952380952,-3.0503349290
3,turnover_20_neutral,turnover_20,20-Day Turnover,Liquidity,neutralized,84,299.6666666667,-0.0525855639,0.1001531720,-0.5250514072,29.7619047619,-4.8121756344
3,turnover_20_zscore,turnover_20,20-Day Turnover,Liquidity,standardized,84,299.6666666667,-0.0868555044,0.2461617453,-0.3528391640,32.1428571429,-3.2338243545
