snapshot_date,factor_column,number_of_stocks,size_correlation_before,size_correlation_after,mean_absolute_industry_score_before,mean_absolute_industry_score_after
2020-03-31,liquidity_amount_20,300,0.49652205,0.00000000,0.57191038,0.00000000
2020-03-31,turnover_20,300,-0.34321823,-0.00000000,0.45720562,0.00000000
2020-03-31,turnover_stability_20,300,0.37159745,-0.00000000,0.46513697,0.00000000
2020-03-31,amihud_liquidity_score_20,300,0.54671086,0.00000000,0.59528167,0.00000000
2020-03-31,value_pe_score,300,0.15342674,-0.00000000,0.59725525,0.00000000
2020-03-31,value_pb_score,300,0.01150808,-0.00000000,0.73857828,0.00000000
2020-03-31,value_ps_score,300,0.04492716,-0.00000000,0.67925447,0.00000000
2020-03-31,value_pcf_score,300,0.01487662,0.00000000,0.61013616,0.00000000
2020-04-30,momentum_20,299,0.07106463,-0.00000000,0.54544378,0.00000000
2020-04-30,momentum_60,299,0.07165520,-0.00000000,0.50498072,0.00000000
2020-04-30,momentum_120,299,0.01120495,0.00000000,0.53916819,0.00000000
2020-04-30,momentum_12_1,299,0.20966624,-0.00000000,0.66267854,0.00000000
2020-04-30,reversal_5_score,299,-0.13455802,0.00000000,0.64059250,0.00000000
2020-04-30,volatility_20,299,0.22331163,0.00000000,0.54906384,0.00000000
2020-04-30,downside_volatility_60,299,0.23781458,-0.00000000,0.54849239,0.00000000
2020-04-30,drawdown_60,299,0.26751985,-0.00000000,0.51937773,0.00000000
2020-04-30,trend_60,299,0.19211589,-0.00000000,0.53915206,0.00000000
2020-04-30,liquidity_amount_20,299,0.48034208,0.00000000,0.57636194,0.00000000
2020-04-30,turnover_20,299,-0.30679716,0.00000000,0.46388445,0.00000000
2020-04-30,turnover_stability_20,299,0.33762508,-0.00000000,0.49929298,0.00000000
2020-04-30,amihud_liquidity_score_20,299,0.57124816,0.00000000,0.59436226,0.00000000
2020-04-30,value_pe_score,299,0.12315533,-0.00000000,0.60116449,0.00000000
2020-04-30,value_pb_score,299,-0.01438577,0.00000000,0.75277946,0.00000000
2020-04-30,value_ps_score,299,0.01887577,-0.00000000,0.69443406,0.00000000
2020-04-30,value_pcf_score,299,0.03513979,0.00000000,0.56557977,0.00000000
2020-05-31,momentum_20,299,-0.17535391,-0.00000000,0.63889034,0.00000000
2020-05-31,momentum_60,299,0.10515886,-0.00000000,0.66255935,0.00000000
2020-05-31,momentum_120,299,0.02929035,0.00000000,0.61445559,0.00000000
2020-05-31,momentum_12_1,299,0.21407267,0.00000000,0.63368176,0.00000000
2020-05-31,reversal_5_score,299,0.07802529,0.00000000,0.59178548,0.00000000
2020-05-31,volatility_20,299,0.15781828,0.00000000,0.52943220,0.00000000
2020-05-31,downside_volatility_60,299,0.16315838,-0.00000000,0.51370388,0.00000000
2020-05-31,drawdown_60,299,0.16369666,-0.00000000,0.62158575,0.00000000
2020-05-31,trend_60,299,0.05458588,-0.00000000,0.65267243,0.00000000
2020-05-31,liquidity_amount_20,299,0.49459943,-0.00000000,0.52473708,0.00000000
2020-05-31,turnover_20,299,-0.29392999,0.00000000,0.43466725,0.00000000
2020-05-31,turnover_stability_20,299,0.34211862,-0.00000000,0.43640144,0.00000000
2020-05-31,amihud_liquidity_score_20,299,0.57615588,0.00000000,0.56119497,0.00000000
2020-05-31,value_pe_score,299,0.11077277,-0.00000000,0.61497127,0.00000000
2020-05-31,value_pb_score,299,-0.04616651,0.00000000,0.75964419,0.00000000
2020-05-31,value_ps_score,299,-0.00914353,-0.00000000,0.69183423,0.00000000
2020-05-31,value_pcf_score,299,0.02130173,0.00000000,0.56854026,0.00000000
2020-06-30,momentum_20,299,0.09972474,0.00000000,0.60395441,0.00000000
2020-06-30,momentum_60,299,0.11781520,0.00000000,0.57817164,0.00000000
2020-06-30,momentum_120,299,0.12183332,0.00000000,0.64358708,0.00000000
2020-06-30,momentum_12_1,299,0.12211056,0.00000000,0.61175485,0.00000000
2020-06-30,reversal_5_score,299,-0.10983545,-0.00000000,0.56166940,0.00000000
2020-06-30,volatility_20,299,0.02216852,-0.00000000,0.53943867,0.00000000
2020-06-30,downside_volatility_60,299,0.10474978,-0.00000000,0.53720631,0.00000000
2020-06-30,drawdown_60,299,0.08902907,-0.00000000,0.56867444,0.00000000
2020-06-30,trend_60,299,0.10115654,0.00000000,0.54208892,0.00000000
2020-06-30,liquidity_amount_20,299,0.51955236,0.00000000,0.56818451,0.00000000
2020-06-30,turnover_20,299,-0.27480791,0.00000000,0.47976414,0.00000000
2020-06-30,turnover_stability_20,299,0.31574950,-0.00000000,0.45772905,0.00000000
2020-06-30,amihud_liquidity_score_20,299,0.53764925,0.00000000,0.58433691,0.00000000
2020-06-30,value_pe_score,299,0.04332680,-0.00000000,0.62805385,0.00000000
2020-06-30,value_pb_score,299,-0.07643126,-0.00000000,0.73886337,0.00000000
2020-06-30,value_ps_score,299,-0.02264472,-0.00000000,0.70601389,0.00000000
2020-06-30,value_pcf_score,299,0.01402411,-0.00000000,0.53436949,0.00000000
2020-07-31,momentum_20,300,0.01003699,-0.00000000,0.50341564,0.00000000
2020-07-31,momentum_60,300,0.09414519,-0.00000000,0.48257286,0.00000000
2020-07-31,momentum_120,300,0.12005516,-0.00000000,0.58160438,0.00000000
2020-07-31,momentum_12_1,300,0.15512589,0.00000000,0.56786981,0.00000000
2020-07-31,reversal_5_score,300,-0.03670536,-0.00000000,0.50505066,0.00000000
2020-07-31,volatility_20,300,0.06325665,-0.00000000,0.55194662,0.00000000
2020-07-31,downside_volatility_60,300,0.04612000,-0.00000000,0.51965560,0.00000000
2020-07-31,drawdown_60,300,0.03629279,0.00000000,0.54864102,0.00000000
2020-07-31,trend_60,300,0.07088160,-0.00000000,0.49719387,0.00000000
2020-07-31,liquidity_amount_20,300,0.57266386,0.00000000,0.57393619,0.00000000
