date,method,rolling_12m_return_percent,rolling_12m_volatility_percent,rolling_12m_sharpe_ratio,rolling_12m_maximum_drawdown_percent
2025-11-28,Walk-Forward Portfolio After Costs,5.361487965386402,15.867040311236838,0.28442469919505287,-10.734317486957924
2025-12-01,Walk-Forward Portfolio After Costs,8.146304108418633,15.863510203465092,0.44894599945233027,-10.734317486957924
2025-12-02,Walk-Forward Portfolio After Costs,8.661979189656144,15.850279247997317,0.47921139378159794,-10.734317486957924
2025-12-03,Walk-Forward Portfolio After Costs,8.804515495922516,15.857619087945881,0.48733174386627076,-10.734317486957924
2025-12-04,Walk-Forward Portfolio After Costs,8.306827424727391,15.846931611545909,0.45861273147261455,-10.734317486957924
2025-12-05,Walk-Forward Portfolio After Costs,11.480392463974475,15.810801797304103,0.6420279524442247,-10.734317486957924
2025-12-08,Walk-Forward Portfolio After Costs,9.950570643232215,15.787587914096365,0.5551796858239555,-10.734317486957924
2025-12-09,Walk-Forward Portfolio After Costs,9.93454215292795,15.789185671814119,0.5542159508414686,-10.734317486957924
2025-12-10,Walk-Forward Portfolio After Costs,9.420780862521605,15.746620263457883,0.5255353455684132,-10.734317486957924
2025-12-11,Walk-Forward Portfolio After Costs,9.947732584916768,15.709397693620517,0.5569997402259937,-10.734317486957924
2025-12-12,Walk-Forward Portfolio After Costs,9.443469140515237,15.68333096900928,0.5283448647308256,-10.734317486957924
2025-12-15,Walk-Forward Portfolio After Costs,9.15424525462456,15.687288556194906,0.5113760064452938,-10.734317486957924
2025-12-16,Walk-Forward Portfolio After Costs,8.321384452534053,15.713097202281768,0.4620305894136441,-10.734317486957924
2025-12-17,Walk-Forward Portfolio After Costs,10.533459948339917,15.729314283284884,0.5902857037331001,-10.734317486957924
2025-12-18,Walk-Forward Portfolio After Costs,10.437162229583329,15.731097351948605,0.584693593399485,-10.734317486957924
2025-12-19,Walk-Forward Portfolio After Costs,9.981950005450702,15.706865099183235,0.559047998387357,-10.734317486957924
2025-12-22,Walk-Forward Portfolio After Costs,9.759405977667889,15.705518747781547,0.5461802793793593,-10.734317486957924
2025-12-23,Walk-Forward Portfolio After Costs,8.769845488738959,15.708956654973946,0.48841973505717834,-10.734317486957924
2025-12-24,Walk-Forward Portfolio After Costs,9.11416276916983,15.717152935750825,0.5083630751539502,-10.734317486957924
2025-12-25,Walk-Forward Portfolio After Costs,8.385365282320523,15.697729885496065,0.46609159664146144,-10.734317486957924
2025-12-26,Walk-Forward Portfolio After Costs,11.07632153115945,15.651749516126529,0.6237469687528364,-10.734317486957924
2025-12-29,Walk-Forward Portfolio After Costs,11.862285578341991,15.628433836783334,0.669581812348655,-10.734317486957924
2025-12-30,Walk-Forward Portfolio After Costs,12.023383195229709,15.630806259468702,0.6787151713866924,-10.734317486957924
2025-12-31,Walk-Forward Portfolio After Costs,12.788492919612505,15.661280977989101,0.7211795388516737,-10.734317486957924
2026-01-05,Walk-Forward Portfolio After Costs,13.616118027625014,15.707663973951172,0.7660760875437157,-10.734317486957924
