horizon_months,signal_column,base_factor,factor_name,category,signal_variant,number_of_periods,quantile_monotonicity,average_q5_minus_q1_return,q5_minus_q1_positive_rate_percent,average_q1_return,average_q2_return,average_q3_return,average_q4_return,average_q5_return
3,drawdown_60_zscore,drawdown_60,60-Day Drawdown,Risk,standardized,84,-0.2000000000,0.0002581389,55.9523809524,0.0160350737,0.0216504094,0.0190846978,0.0147625413,0.0162932126
3,value_pcf_score_neutral,value_pcf_score,Cash-Flow Yield Style,Value,neutralized,84,0.0000000000,-0.0002550226,45.2380952381,0.0202122587,0.0142924650,0.0157714698,0.0175913513,0.0199572361
3,momentum_20_neutral,momentum_20,20-Day Momentum,Momentum,neutralized,84,-0.5000000000,-0.0006600083,52.3809523810,0.0183356525,0.0188197076,0.0161704579,0.0168125880,0.0176756442
3,momentum_60_zscore,momentum_60,60-Day Momentum,Momentum,standardized,84,-0.6000000000,-0.0017732050,54.7619047619,0.0177169453,0.0171402581,0.0214046289,0.0156283588,0.0159437403
3,volatility_20_zscore,volatility_20,20-Day Volatility,Risk,standardized,84,-0.9000000000,-0.0020289148,60.7142857143,0.0202361786,0.0190193247,0.0185972000,0.0117896782,0.0182072638
3,trend_60_neutral,trend_60,60-Day MA Trend,Trend,neutralized,84,0.0000000000,-0.0028302817,45.2380952381,0.0214552633,0.0153343152,0.0158521266,0.0165386164,0.0186249815
3,trend_category_score,trend_category_score,Trend Category,Category Composite,category,84,0.0000000000,-0.0028302817,45.2380952381,0.0214552633,0.0153343152,0.0158521266,0.0165386164,0.0186249815
3,value_ps_score_zscore,value_ps_score,Sales-to-Price Style,Value,standardized,84,-0.2000000000,-0.0029242964,48.8095238095,0.0195242439,0.0100120681,0.0227674764,0.0189373402,0.0165999475
3,reversal_5_score_zscore,reversal_5_score,5-Day Reversal,Reversal,standardized,84,-0.3000000000,-0.0029483979,48.8095238095,0.0178654004,0.0220686021,0.0138595507,0.0191388182,0.0149170026
3,value_category_score,value_category_score,Value Category,Category Composite,category,84,-0.4000000000,-0.0031133721,57.1428571429,0.0234304237,0.0193568367,0.0135083668,0.0111842211,0.0203170516
3,momentum_60_neutral,momentum_60,60-Day Momentum,Momentum,neutralized,84,0.0000000000,-0.0035144097,51.1904761905,0.0221906404,0.0135508958,0.0166474614,0.0167724847,0.0186762308
3,value_pb_score_zscore,value_pb_score,Book-to-Price Style,Value,standardized,84,-0.2000000000,-0.0036552473,55.9523809524,0.0222194551,0.0177021894,0.0105549023,0.0187515967,0.0185642078
3,volatility_20_neutral,volatility_20,20-Day Volatility,Risk,neutralized,84,-0.3000000000,-0.0037403835,57.1428571429,0.0222299747,0.0154448683,0.0170819630,0.0145603129,0.0184895912
3,value_pe_score_zscore,value_pe_score,Earnings Yield Style,Value,standardized,84,-0.1000000000,-0.0039477675,57.1428571429,0.0213039846,0.0130838087,0.0165595857,0.0195586561,0.0173562171
3,turnover_20_neutral,turnover_20,20-Day Turnover,Liquidity,neutralized,84,-0.5000000000,-0.0040782739,45.2380952381,0.0212937363,0.0156956263,0.0194441879,0.0141280009,0.0172154623
3,value_ps_score_neutral,value_ps_score,Sales-to-Price Style,Value,neutralized,84,-0.7000000000,-0.0051055251,53.5714285714,0.0227590527,0.0206395293,0.0155987321,0.0111801724,0.0176535275
3,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,84,-0.5000000000,-0.0051409571,44.0476190476,0.0190638476,0.0168352995,0.0195390611,0.0184633332,0.0139228905
3,trend_60_zscore,trend_60,60-Day MA Trend,Trend,standardized,84,-0.9000000000,-0.0052416058,48.8095238095,0.0195434770,0.0193104295,0.0171962166,0.0174522776,0.0143018712
3,reversal_5_score_neutral,reversal_5_score,5-Day Reversal,Reversal,neutralized,84,-0.7000000000,-0.0053851885,47.6190476190,0.0190752515,0.0199859724,0.0197716071,0.0153115136,0.0136900630
3,reversal_category_score,reversal_category_score,Reversal Category,Category Composite,category,84,-0.7000000000,-0.0053851885,47.6190476190,0.0190752515,0.0199859724,0.0197716071,0.0153115136,0.0136900630
3,value_pb_score_neutral,value_pb_score,Book-to-Price Style,Value,neutralized,84,-0.1000000000,-0.0056657639,51.1904761905,0.0246403267,0.0170793909,0.0098424949,0.0172757544,0.0189745629
3,risk_category_score,risk_category_score,Risk Category,Category Composite,category,84,-0.5000000000,-0.0062730922,57.1428571429,0.0213933738,0.0174693785,0.0150026211,0.0188116611,0.0151202816
3,downside_volatility_60_neutral,downside_volatility_60,60-Day Downside Volatility,Risk,neutralized,84,-0.7000000000,-0.0115851298,53.5714285714,0.0254951815,0.0193472547,0.0131397780,0.0159058301,0.0139100517
3,downside_volatility_60_zscore,downside_volatility_60,60-Day Downside Volatility,Risk,standardized,84,-0.9000000000,-0.0118384830,57.1428571429,0.0273701413,0.0182141793,0.0167304097,0.0099625828,0.0155316582
