snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,momentum_20,momentum_60,momentum_120,momentum_12_1,reversal_5_score,volatility_20,downside_volatility_60,drawdown_60,trend_60,liquidity_amount_20,turnover_20,turnover_stability_20,amihud_liquidity_score_20,value_pe_score,value_pb_score,value_ps_score,value_pcf_score,log_float_market_cap
2019-07-31,2019-07-31,sh.600352,600352.SS,浙江龙盛,C26化学原料和化学制品制造业,12.1584506100,-0.0837887067,-0.2016780506,0.5553094628,,0.0124345550,0.3675455113,0.3169903982,-0.2370618422,-0.0762501426,7.0126020264,2.2002073000,-0.9119989645,-0.0014024085,-2.3683091611,-0.8250702180,-0.9174065092,,24.4151160218
2019-07-31,2019-07-31,sh.600362,600362.SS,江西铜业,C32有色金属冶炼和压延加工业,12.7196920000,-0.0337525443,0.0489717993,0.1498344723,,0.0217376872,0.2845873745,0.1681628867,-0.0715622274,0.0004515521,5.3364553262,0.6597084500,-0.3171656074,-0.0055196254,-3.0479374096,-0.0115352129,1.4305137870,-3.0101457486,24.0013234898
2019-07-31,2019-07-31,sh.600369,600369.SS,西南证券,J67资本市场服务,4.3286866800,-0.0180722892,0.0273109244,0.2868421053,,0.0180722892,0.2334080022,0.1607610540,-0.0430528376,0.0123874262,4.9410330859,0.4938168000,-0.1883171387,-0.0074778342,-4.2905425336,-0.3670042129,-2.1656813920,-3.0317216658,23.9345890559
2019-07-31,2019-07-31,sh.600372,600372.SS,中航电子,C37铁路、船舶、航空航天和其他运输设备制造业,14.4719163000,-0.0149393869,0.0439206910,0.1292336746,,-0.0120240481,0.2234105616,0.1493535518,-0.0318799197,0.0174932202,4.4837641173,0.3260624500,-0.1328025749,-0.0121380065,-3.9733158275,-1.3184145307,-1.2031506665,,23.9595536757
2019-07-31,2019-07-31,sh.600383,600383.SS,金地集团,K70房地产业,10.1214738000,0.0117030754,0.1023293630,0.1698394793,,0.0271132376,0.2705896510,0.1449618265,-0.0461297889,0.0497636953,5.7808324371,0.5665419500,-0.1848091145,-0.0038729273,-1.8684698617,-0.1415299438,-0.0028668866,-2.0456056344,24.5500668484
2019-07-31,2019-07-31,sh.600390,600390.SS,五矿资本,J69其他金融业,6.4420337700,-0.0476683938,-0.0181623932,0.2871148459,,-0.0110011001,0.2507907776,0.2127327623,-0.0717171717,-0.0109594447,4.0842672992,1.2366056000,-0.6042740020,-0.0169275381,-2.5324953782,-0.0251227640,-0.8705608802,-3.5677629342,21.9147693056
2019-07-31,2019-07-31,sh.600398,600398.SS,海澜之家,C18纺织服装、服饰业,5.8425930000,0.0033444816,0.0293682173,0.0607372262,,-0.0011123471,0.3565843453,0.1310937246,-0.0099009901,0.0283610437,4.3878362107,0.2075184000,-0.1353107948,-0.0129811943,-2.4210892908,-1.0814478184,-0.7184966505,-2.6269863389,23.9215296790
2019-07-31,2019-07-31,sh.600406,600406.SS,国电南瑞,I65软件和信息技术服务业,9.5990421800,0.0116104814,0.0153453303,-0.0009887150,,-0.0090957731,0.2000622977,0.1611662744,-0.0213041453,0.0369537799,5.0836253818,0.2937305500,-0.1334796467,-0.0058871675,-3.0461529173,-1.1406367599,-1.1198253587,-6.8851632123,24.0263974850
2019-07-31,2019-07-31,sh.600415,600415.SS,小商品城,L72商务服务业,3.5037969800,-0.0455635492,-0.0128265241,0.1092141528,,0.0221130221,0.1694924747,0.1251780163,-0.0546318290,-0.0140527562,3.3740239882,0.1270506500,-0.0467296773,-0.0237325732,-3.6513869368,-0.5823563921,-1.7986500082,-3.2526654316,23.6877436325
2019-07-31,2019-07-31,sh.600436,600436.SS,片仔癀,C27医药制造业,98.1892080000,-0.0794830944,-0.0669788251,0.1773088137,,-0.0141394442,0.2104359731,0.1678675362,-0.1125522656,-0.0364291285,5.9146840917,0.5748232500,-0.2085896247,-0.0029446737,-3.8998831345,-2.4325503345,-2.4797781046,-4.2942330928,24.8204493887
