date,trained_return,original_return,benchmark_return,trained_value,original_value,benchmark_value,trained_transaction_cost,original_transaction_cost
2024-12-02,0.003230895281948333,0.004906495489556784,0.007927784972639795,102187.82771422173,98932.43926582069,101454.36292564172,0.0006000000000000001,0.0009000000000000001
2024-12-03,-0.003814495975738486,0.0015312503710680275,0.0010791309955811013,101798.03265663637,99083.92960015715,101563.84547331173,0.0,0.0
2024-12-04,-0.005312947951766955,-0.008261606074291118,-0.005397375575780461,101257.18500753937,98265.33720550785,101015.66725437173,0.0,0.0
2024-12-05,-0.005881263055377483,-0.003245909865826824,-0.002282110073223098,100661.664866263,97946.3767780037,100785.13838257716,0.0,0.0
2024-12-06,0.014520768311303245,0.017992961207927972,0.013145128259753447,102123.34957961606,99708.72213582741,102109.97195329315,0.0,0.0
2024-12-09,-0.0007987114813772678,-0.0008621317965941344,-0.0016535597528348767,102041.78248779013,99622.76007607635,101941.12701330808,0.0,0.0
2024-12-10,0.006689161258481468,0.01721071218002992,0.007328705586379325,102724.35642595384,101337.33872632589,102688.2235203323,0.0,0.0
2024-12-11,-0.0014332209627692994,-0.0060275620917326295,-0.0017043113584320757,102577.12972493717,100726.52162494202,102513.2108146094,0.0,0.0
2024-12-12,0.010467004454027463,0.01677555938548627,0.009945252391810877,103650.80499864944,102416.26537015471,103532.73056965561,0.0,0.0
2024-12-13,-0.02584742491857992,-0.031403658610332674,-0.02366142940533078,100971.69859869649,99200.01993632513,101082.99817414056,0.0,0.0
2024-12-16,-0.009888068540982188,-0.003658740982760311,-0.005425595604800826,99973.28352225316,98837.07275789346,100534.56270352686,0.0,0.0
2024-12-17,0.009113486331712162,0.011303507313263638,0.00260489722925894,100884.3886751696,99954.27833263388,100796.44490735802,0.0,0.0
2024-12-18,0.001559227115207107,0.004352400630141839,0.005063669358189582,101041.69034949302,100389.31939663422,101306.84477684986,0.0,0.0
2024-12-19,-0.0024964136509932236,-0.00840616272717154,0.0009056742975233067,100789.44849438511,99545.43044171612,101398.59578232744,0.0,0.0
2024-12-20,-0.007093767212775371,-0.005310810972724523,-0.004491230649547484,100074.47160926193,99016.76347744167,100943.19130112877,0.0,0.0
2024-12-23,0.0007282408518204833,-0.0003225454744329116,0.0014843340291097462,100147.34992771214,98984.82606848901,101093.02471498396,0.0,0.0
2024-12-24,0.014703816312637041,0.013867966909131191,0.012741573729682987,101619.89816524662,100357.54436091293,102381.10894294658,0.0,0.0
2024-12-25,-0.0016309599040527758,-0.0024969417844739493,0.0004869709828785318,101454.16018588515,100106.95741501097,102430.96557219673,0.0,0.0
2024-12-26,-0.007629318493921301,-0.0053242268214755755,0.0004641920375567654,100680.13408529373,99573.96526732565,102478.5132108146,0.0,0.0
2024-12-27,-0.0006353045341078059,0.0005258596105444769,-0.0016175507346664064,100616.17153961475,99626.32719392148,102312.74901648294,0.0,0.0
2024-12-30,0.006014242270713788,0.0044812408404369284,0.004526471641419061,101221.30157160567,100072.7767601256,102775.86477346165,0.0,0.0
2024-12-31,-0.012443179844218255,-0.01262270788646216,-0.016038843209163045,99961.78671208431,98809.58733169541,101127.45879267395,0.0,0.0
2025-01-02,-0.021981406283649318,-0.02413566933170034,-0.02910104991558493,97764.48606552651,96424.75180505584,98184.54356651209,0.0009000000000000001,0.0009000000000000001
